target_id	pdb_id	status	target_chain_count	target_entity_count	target_oligo_state	candidate_entity_id	candidate_asym_ids	candidate_auth_asym_ids	candidate_atom_chain_count	candidate_atom_chains	assembly_id	assembly_oligomeric_details	assembly_oligomeric_count	assembly_asym_id_count	assembly_polymer_chain_count	assembly_candidate_asym_count	assembly_contains_all_candidate_asym_ids	assembly_entity_ids	assembly_entity_count	assembly_matches_target_chain_count	reference_path	sha256	notes
H0267	9qbl	candidate	2	2	UNK	2	B,D	B,D	2	B,D	1	tetrameric	4	36	4	2	true	1,2	2	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9qbl.cif	051c26ce7a3a47d774bb5b434b900cc8e287a49aef8b5f048419b43076be0a38	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9QBL_2 | Crystal structure of Xanthobacter autotrophicus SPARDA mutant lacking DREN nuclease domains | 2025-12-17T00:00:00.000+00:00 | X-RAY DIFFRACTION
H0267	9qbq	candidate	2	2	UNK	2	B,D	B,D	2	B,D	1	tetrameric	4	23	4	2	true	1,2	2	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9qbq.cif	c374cfb0939a47c28e4bbf5c71a0bd9ad5eef5e2e55797534e5317b547b778ad	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9QBQ_2 | Crystal structure of apo SPARDA complex from Xanthobacter autotrophicus | 2025-12-17T00:00:00.000+00:00 | X-RAY DIFFRACTION
H0267	9qcc	candidate	2	2	UNK	2	B,DA,F,J,N,R,V,Y	B,F,J,N,R,V,X,Z	8	B,DA,F,J,N,R,V,Y	1	34-meric	34	46	34	8	true	1,2,3,4,5,6	6	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9qcc.cif	de11b6c64871fbe074abc11bb5b7af20c31d0a27d61ba58404599bec779eb843	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9QCC_2 | Activated XauSPARDA filament assembly with bound dsDNA substrate | 2025-12-17T00:00:00.000+00:00 | ELECTRON MICROSCOPY
H1267	9qbl	candidate	2	2	UNK	2	B,D	B,D	2	B,D	1	tetrameric	4	36	4	2	true	1,2	2	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9qbl.cif	051c26ce7a3a47d774bb5b434b900cc8e287a49aef8b5f048419b43076be0a38	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9QBL_2 | Crystal structure of Xanthobacter autotrophicus SPARDA mutant lacking DREN nuclease domains | 2025-12-17T00:00:00.000+00:00 | X-RAY DIFFRACTION
H1267	9qbq	candidate	2	2	UNK	2	B,D	B,D	2	B,D	1	tetrameric	4	23	4	2	true	1,2	2	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9qbq.cif	c374cfb0939a47c28e4bbf5c71a0bd9ad5eef5e2e55797534e5317b547b778ad	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9QBQ_2 | Crystal structure of apo SPARDA complex from Xanthobacter autotrophicus | 2025-12-17T00:00:00.000+00:00 | X-RAY DIFFRACTION
H1267	9qcc	candidate	2	2	UNK	2	B,DA,F,J,N,R,V,Y	B,F,J,N,R,V,X,Z	8	B,DA,F,J,N,R,V,Y	1	34-meric	34	46	34	8	true	1,2,3,4,5,6	6	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9qcc.cif	de11b6c64871fbe074abc11bb5b7af20c31d0a27d61ba58404599bec779eb843	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9QCC_2 | Activated XauSPARDA filament assembly with bound dsDNA substrate | 2025-12-17T00:00:00.000+00:00 | ELECTRON MICROSCOPY
H2267	9qbl	candidate	2	2	UNK	2	B,D	B,D	2	B,D	1	tetrameric	4	36	4	2	true	1,2	2	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9qbl.cif	051c26ce7a3a47d774bb5b434b900cc8e287a49aef8b5f048419b43076be0a38	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9QBL_2 | Crystal structure of Xanthobacter autotrophicus SPARDA mutant lacking DREN nuclease domains | 2025-12-17T00:00:00.000+00:00 | X-RAY DIFFRACTION
H2267	9qbq	candidate	2	2	UNK	2	B,D	B,D	2	B,D	1	tetrameric	4	23	4	2	true	1,2	2	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9qbq.cif	c374cfb0939a47c28e4bbf5c71a0bd9ad5eef5e2e55797534e5317b547b778ad	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9QBQ_2 | Crystal structure of apo SPARDA complex from Xanthobacter autotrophicus | 2025-12-17T00:00:00.000+00:00 | X-RAY DIFFRACTION
H2267	9qcc	candidate	2	2	UNK	2	B,DA,F,J,N,R,V,Y	B,F,J,N,R,V,X,Z	8	B,DA,F,J,N,R,V,Y	1	34-meric	34	46	34	8	true	1,2,3,4,5,6	6	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9qcc.cif	de11b6c64871fbe074abc11bb5b7af20c31d0a27d61ba58404599bec779eb843	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9QCC_2 | Activated XauSPARDA filament assembly with bound dsDNA substrate | 2025-12-17T00:00:00.000+00:00 | ELECTRON MICROSCOPY
H1217	6ezo	candidate	6	6	UNK	5	I,J	I,J	2	I,J	1	decameric	10	11	10	2	true	1,2,3,4,5	5	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/6ezo.cif	9b1e48287dbcfea1ce9906ded05285038731828a3ad687ea72f14154dcd0d972	full_construct_exact_candidate_needs_native_provenance_and_mapping | 6EZO_5 | Eukaryotic initiation factor EIF2B in complex with ISRIB | 2018-03-28T00:00:00.000+00:00 | ELECTRON MICROSCOPY
