priority	track	target_family	target_ids	reviewed_target_rows	hit_target_rows	candidate_rows	candidate_pdb_ids	candidate_length_summary	candidate_status_summary	decision	reason	next_action	source_targets	source_candidates
7	protein_domain	domains:T1240-D1,T1240-D2	T0240,T1240,T2240	3	0	0				relaxed90_no_hits_manual_native_search	no relaxed90 RCSB hits for any phase-alias target in this family	manual native/provenance search; do not repeat search-depth-only RCSB sequence probing	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_targets.tsv	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_candidates.tsv
8	protein_domain	domains:T1259-D1	T0259,T1259,T2259	3	0	0				relaxed90_no_hits_manual_native_search	no relaxed90 RCSB hits for any phase-alias target in this family	manual native/provenance search; do not repeat search-depth-only RCSB sequence probing	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_targets.tsv	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_candidates.tsv
9	protein_domain	domains:T1246-D1	T0246,T1246,T2246	3	0	0				relaxed90_no_hits_manual_native_search	no relaxed90 RCSB hits for any phase-alias target in this family	manual native/provenance search; do not repeat search-depth-only RCSB sequence probing	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_targets.tsv	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_candidates.tsv
10	protein_domain	domains:T1218-D1,T1218-D2,T1218-D3	T0218,T1218,T2218	3	0	0				relaxed90_no_hits_manual_native_search	no relaxed90 RCSB hits for any phase-alias target in this family	manual native/provenance search; do not repeat search-depth-only RCSB sequence probing	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_targets.tsv	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_candidates.tsv
11	protein_domain	domains:T1237-D1	T0237,T1237,T2237	3	0	0				relaxed90_no_hits_manual_native_search	no relaxed90 RCSB hits for any phase-alias target in this family	manual native/provenance search; do not repeat search-depth-only RCSB sequence probing	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_targets.tsv	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_candidates.tsv
12	protein_domain	domains:T1257-D1	T0257,T1257,T2257	3	3	9	4uw7,4uw8,5aq5	294:3;328:3;427:3	sequence_search_hit_alignment_unverified:9	reject_relaxed90_hits_for_refmap	relaxed90 RCSB hits are short tail-fiber domain/template structures; candidate entity lengths are 294-427 residues versus 1263-residue target sequences, and no exact/contained sequence relationship is present	manual_native_provenance_search; require full construct or explicit domain/native crop before refmap promotion	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_targets.tsv	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_candidates.tsv
13	protein_domain	domains:T1274-D1	T1274,T2274	2	0	0				relaxed90_no_hits_manual_native_search	no relaxed90 RCSB hits for any phase-alias target in this family	manual native/provenance search; do not repeat search-depth-only RCSB sequence probing	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_targets.tsv	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_candidates.tsv
14	protein_domain	domains:T1279-D1,T1279-D2	T1279,T2279	2	0	0				relaxed90_no_hits_manual_native_search	no relaxed90 RCSB hits for any phase-alias target in this family	manual native/provenance search; do not repeat search-depth-only RCSB sequence probing	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_targets.tsv	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_candidates.tsv
15	protein_domain	domains:T1231-D1	T1231,T2231	2	0	0				relaxed90_no_hits_manual_native_search	no relaxed90 RCSB hits for any phase-alias target in this family	manual native/provenance search; do not repeat search-depth-only RCSB sequence probing	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_targets.tsv	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_candidates.tsv
16	protein_domain	domains:T1276-D1	T1276,T2276	2	0	0				relaxed90_no_hits_manual_native_search	no relaxed90 RCSB hits; this family also remains tied to D6a-style input-kind repair before reference promotion	verify repaired protein input, then manual native/provenance search plus explicit domain crop mapping	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_targets.tsv	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_candidates.tsv
17	protein_domain	domains:T1284-D1	T1284,T2284	2	0	0				relaxed90_no_hits_manual_native_search	no relaxed90 RCSB hits for any phase-alias target in this family	manual native/provenance search; do not repeat search-depth-only RCSB sequence probing	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_targets.tsv	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_candidates.tsv
18	protein_domain	domains:T1243-D1	T1243,T2243	2	0	0				relaxed90_no_hits_manual_native_search	no relaxed90 RCSB hits for any phase-alias target in this family	manual native/provenance search; do not repeat search-depth-only RCSB sequence probing	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_targets.tsv	diagnostics/reference_gap/rcsb_relaxed90_probe_20260707_lane_e_all_domain_candidates.tsv
