target_id	pdb_id	status	domain_ids	domain_residue_ranges	chain_id	auth_chain_id	entity_id	observed_label_seq_ranges	observed_label_seq_count	domain_residue_coverage	domain_missing_count	chain_supports_domain	reference_path	sha256	notes
T1228V1	9dxh	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	A	A	1	3-537	535	0.996262	2	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxh.cif	c9ec82e7ed6b00da69e5b9b8ee06a6c3395928d9c647bcdc679cf085bffbf9d9	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXH_1 | attPmm and attBmm bound serine integrase complex in the pre-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxh	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	B	C	1	3-537	535	0.996262	2	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxh.cif	c9ec82e7ed6b00da69e5b9b8ee06a6c3395928d9c647bcdc679cf085bffbf9d9	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXH_1 | attPmm and attBmm bound serine integrase complex in the pre-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxh	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	C	E	2	1-34	34	0.063551	501	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxh.cif	c9ec82e7ed6b00da69e5b9b8ee06a6c3395928d9c647bcdc679cf085bffbf9d9	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXH_1 | attPmm and attBmm bound serine integrase complex in the pre-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxh	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	D	F	3	1-33	33	0.061682	502	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxh.cif	c9ec82e7ed6b00da69e5b9b8ee06a6c3395928d9c647bcdc679cf085bffbf9d9	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXH_1 | attPmm and attBmm bound serine integrase complex in the pre-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxh	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	E	G	4	1-25	25	0.046729	510	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxh.cif	c9ec82e7ed6b00da69e5b9b8ee06a6c3395928d9c647bcdc679cf085bffbf9d9	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXH_1 | attPmm and attBmm bound serine integrase complex in the pre-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxh	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	F	H	5	1-24	24	0.044860	511	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxh.cif	c9ec82e7ed6b00da69e5b9b8ee06a6c3395928d9c647bcdc679cf085bffbf9d9	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXH_1 | attPmm and attBmm bound serine integrase complex in the pre-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxh	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	G	I	1	3-537	535	0.996262	2	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxh.cif	c9ec82e7ed6b00da69e5b9b8ee06a6c3395928d9c647bcdc679cf085bffbf9d9	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXH_1 | attPmm and attBmm bound serine integrase complex in the pre-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxh	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	H	K	1	3-537	535	0.996262	2	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxh.cif	c9ec82e7ed6b00da69e5b9b8ee06a6c3395928d9c647bcdc679cf085bffbf9d9	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXH_1 | attPmm and attBmm bound serine integrase complex in the pre-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxh	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	I	M	2	1-34	34	0.063551	501	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxh.cif	c9ec82e7ed6b00da69e5b9b8ee06a6c3395928d9c647bcdc679cf085bffbf9d9	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXH_1 | attPmm and attBmm bound serine integrase complex in the pre-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
T1228V1	9dxh	candidate	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	1-164,165-300,301-401,402-467,468-535	J	N	3	1-33	33	0.061682	502	false	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/refmap_candidate_mmcif/9dxh.cif	c9ec82e7ed6b00da69e5b9b8ee06a6c3395928d9c647bcdc679cf085bffbf9d9	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXH_1 | attPmm and attBmm bound serine integrase complex in the pre-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY
